column,dtype
ssuseq,int32
ssuid,object
spanel,category
swave,int8
srotaton,int8
srefmon,category
rhcalmn,category
rhcalyr,int16
shhadid,object
gvarstr,int16
ghlfsam,int8
grgc,float64
tfipsst,category
eoutcome,category
rhnf,int8
rhnfam,int8
rhnsf,int8
ehrefper,int16
ehhnumpp,int16
rhtype,category
whfnwgt,float64
tmetro,category
tmsa,int16
rhchange,category
rhnssr,int8
eaccess,category
aaccess,category
eunits,category
aunits,category
elivqrt,category
alivqrt,category
etenure,category
atenure,category
epubhse,category
apubhse,category
egvtrnt,category
agvtrnt,category
tmthrnt,category
amthrnt,category
ewrsect8,category
awrsect8,category
eutilyn,category
autilyn,category
eegyast,category
aegyast,category
eegypmt1,category
eegypmt2,category
eegypmt3,category
aegypmt,category
eegyamt,category
aegyamt,category
ehotlunc,category
ahotlunc,category
rnklun,category
efreelun,category
afreelun,category
efrerdln,category
afrerdln,category
ebrkfst,category
abrkfst,category
rnkbrk,category
efreebrk,category
afreebrk,category
efrerdbk,category
afrerdbk,category
rprgques,category
thearn,int32
thprpinc,int32
thtrninc,int32
thothinc,int32
thtotinc,int32
rhnbrf,category
rhcbrf,category
rhmtrf,category
thpov,int32
thpndist,int32
thlumpsm,int32
thnoncsh,int32
thsocsec,int32
thssi,int32
thunemp,int32
thvets,int32
thafdc,int32
thfdstp,int32
rfid,int16
rfid2,category
efnp,int8
efrefper,int16
efspouse,category
eftype,category
rfchange,category
efkind,category
rfnkids,int8
rfownkid,int8
rfoklt18,int8
rfnssr,int8
wffinwgt,float64
tfearn,int32
tfprpinc,int32
tftrninc,int32
tfothinc,int32
tftotinc,int32
tfpov,int32
tfpndist,int32
tflumpsm,int32
tfsocsec,int32
tfssi,int32
tfunemp,int32
tfvets,int32
tfafdc,int32
tffdstp,int32
rsid,category
esfnp,category
esfrfper,category
esfspse,category
esftype,category
esfkind,category
rschange,category
esownkid,category
esoklt18,category
wsfinwgt,category
tsfearn,category
tsprpinc,category
tstrninc,category
tsothinc,category
tstotinc,category
tsfpov,category
tspndist,category
tslumpsm,category
tssocsec,category
tsssi,category
tsvets,category
tsunemp,category
tsafdc,category
tsfdstp,category
eentaid,object
epppnum,object
eppintvw,category
epopstat,category
ebmnth,int8
abmnth,category
tbyear,int16
abyear,category
esex,category
asex,category
erace,category
arace,category
eorigin,category
aorigin,category
uevrwid,category
uevrdiv,category
eafnow,category
aafnow,category
eafever,category
aafever,category
uaf1,category
uaf2,category
uaf3,category
uaf4,category
uaf5,category
evayn,category
avayn,category
evettyp,category
avettyp,category
evaques,category
avaques,category
eafsrvdi,category
aafsrvdi,category
wpfinwgt,float64
esfr,category
esft,category
tage,category
aage,category
errp,category
arrp,category
ems,category
ams,category
epnspous,category
apnspous,category
epnmom,category
apnmom,category
epndad,category
apndad,category
epnguard,category
apnguard,category
etypmom,category
atypmom,category
etypdad,category
atypdad,category
rdesgpnt,category
ulftmain,category
uentmain,category
ulftday,category
ulftmon,category
uentday,category
uentmon,category
tpearn,category
tpprpinc,category
tptrninc,category
tpothinc,category
tptotinc,category
tppndist,category
tplumpsm,category
ehtlnyn,category
ahtlnyn,category
ebkfsyn,category
abkfsyn,category
rcutyp01,category
rcuown01,category
rcutyp03,category
rcuown03,category
rcutyp04,category
rcuown04,category
rcutyp08,category
rcuown8a,category
rcuown8b,category
rcutyp20,category
rcuown20,category
rcutyp21,category
rcuow21a,category
rcuow21b,category
rcutyp23,category
rcuown23,category
rcutyp24,category
rcuow24a,category
rcuow24b,category
rcutyp25,category
rcuown25,category
rcutyp27,category
rcuown27,category
rcutyp57,category
rcuown57,category
rcutyp58,category
rcuow58a,category
rcuow58b,category
renroll,category
arenroll,category
eenrlm,category
aenrlm,category
renrlma,category
eenlevel,category
aenlevel,category
eedfund,category
aedfund,category
easst01,category
easst03,category
easst04,category
easst05,category
easst06,category
easst07,category
easst08,category
easst09,category
easst10,category
easst11,category
aedasst,category
eeducate,category
aeducate,category
epdjbthn,category
apdjbthn,category
ejobsrch,category
ajobsrch,category
ejobtrn,category
ajobtrn,category
rjobhelp,category
eppflag,category
emax,category
ebuscntr,category
ejobcntr,category
eeveret,category
aeveret,category
edisabl,category
adisabl,category
edisprev,category
adisprev,category
ersnowrk,category
arsnowrk,category
eawop,category
aawop,category
eabre,category
aabre,category
eptwrk,category
aptwrk,category
eptresn,category
aptresn,category
elkwrk,category
alkwrk,category
elayoff,category
alayoff,category
rtakjob,category
rnotake,category
emoonlit,category
amoonlit,category
tmlmsum,category
amlmsum,category
ebflag,category
ecflag,category
rmesr,category
rwkesr1,category
rwkesr2,category
rwkesr3,category
rwkesr4,category
rwkesr5,category
rmwkwjb,category
rmwksab,category
awksab,category
rmwklkg,category
awklkg,category
rmhrswk,category
rwksperm,category
eeno1,category
estlemp1,category
astlemp1,category
tsjdate1,category
asjdate1,category
tejdate1,category
aejdate1,category
ersend1,category
arsend1,category
ejbhrs1,category
ajbhrs1,category
eemploc1,category
aemploc1,category
tempall1,category
aempall1,category
tempsiz1,category
aempsiz1,category
eclwrk1,category
aclwrk1,category
eunion1,category
aunion1,category
ecntrc1,category
acntrc1,category
tpmsum1,category
apmsum1,category
epayhr1,category
apayhr1,category
tpyrate1,category
apyrate1,category
rpyper1,category
ejbind1,int16
ajbind1,category
tjbocc1,int16
ajbocc1,category
eeno2,category
estlemp2,category
astlemp2,category
tsjdate2,category
asjdate2,category
tejdate2,category
aejdate2,category
ersend2,category
arsend2,category
ejbhrs2,category
ajbhrs2,category
eemploc2,category
aemploc2,category
tempall2,category
aempall2,category
tempsiz2,category
aempsiz2,category
eclwrk2,category
aclwrk2,category
eunion2,category
aunion2,category
ecntrc2,category
acntrc2,category
tpmsum2,category
apmsum2,category
epayhr2,category
apayhr2,category
tpyrate2,category
apyrate2,category
rpyper2,category
ejbind2,int16
ajbind2,category
tjbocc2,int16
ajbocc2,category
ebno1,category
ebiznow1,category
abiznow1,category
tsbdate1,category
asbdate1,category
tebdate1,category
aebdate1,category
erendb1,category
arendb1,category
ehrsbs1,category
ahrsbs1,category
egrosb1,category
agrosb1,category
egrssb1,category
agrssb1,category
tempb1,category
aempb1,category
eincpb1,category
aincpb1,category
epropb1,category
apropb1,category
ehprtb1,category
ahprtb1,category
eslryb1,category
aslryb1,category
eoincb1,category
aoincb1,category
tprftb1,category
aprftb1,category
tbmsum1,category
abmsum1,category
epartb11,category
epartb21,category
epartb31,category
tbsind1,category
absind1,category
tbsocc1,int16
absocc1,category
ebno2,category
ebiznow2,category
abiznow2,category
tsbdate2,category
asbdate2,category
tebdate2,category
aebdate2,category
erendb2,category
arendb2,category
ehrsbs2,category
ahrsbs2,category
egrosb2,category
agrosb2,category
egrssb2,category
agrssb2,category
tempb2,category
aempb2,category
eincpb2,category
aincpb2,category
epropb2,category
apropb2,category
ehprtb2,category
ahprtb2,category
eslryb2,category
aslryb2,category
eoincb2,category
aoincb2,category
tprftb2,category
aprftb2,category
tbmsum2,category
abmsum2,category
epartb12,category
epartb22,category
epartb32,category
tbsind2,category
absind2,category
tbsocc2,int16
absocc2,category
euectyp5,category
auectyp5,category
euectyp7,category
auectyp7,category
elmptyp1,category
almptyp1,category
elmptyp2,category
almptyp2,category
elmptyp3,category
almptyp3,category
essself,category
assself,category
esschild,category
asschild,category
essichld,category
assichld,category
essiself,category
assiself,category
estssi,category
astssi,category
rwcmprsn,category
awcmprsn,category
rinsrsn,category
ainsrsn,category
rempdrsn,category
aempdrsn,category
rpensrsn,category
apensrsn,category
rfcsrsn,category
afcsrsn,category
rstatrsn,category
astatrsn,category
rlgovrsn,category
algovrsn,category
rmilrsn,category
amilrsn,category
rrrsn,category
arrrsn,category
rblklrsn,category
ablklrsn,category
rothrrsn,category
aothrrsn,category
rlifirsn,category
alifirsn,category
rvetsrsn,category
avetsrsn,category
restarsn,category
aestarsn,category
efccyn,category
afccyn,category
ecsagree,category
acsagree,category
ecsyn,category
acsyn,category
ealiyn,category
aaliyn,category
efsyn,category
afsyn,category
epssthru,category
apssthru,category
ewicyn,category
awicyn,category
epatyn,category
apatyn,category
epatyp1,category
apatyp1,category
epatyp2,category
apatyp2,category
epatyp3,category
apatyp3,category
epatyp4,category
apatyp4,category
epatyp5,category
apatyp5,category
epatyp6,category
apatyp6,category
epatyp7,category
apatyp7,category
ecomserv,category
acomserv,category
ecomtype,category
acomtype,category
easetdrw,category
aasetdrw,category
eresnss1,category
aresnss1,category
eresnss2,category
aresnss2,category
tagess,category
aagess,category
ejntssyn,category
ajntssyn,category
er01a,category
ar01a,category
er01k,category
ar01k,category
er02,category
ar02,category
er03a,category
ar03a,category
er03k,category
ar03k,category
er04,category
ar04,category
er05,category
ar05,category
er07,category
ar07,category
er08,category
ar08,category
er09,category
ar09,category
er10,category
ar10,category
er12,category
ar12,category
er13,category
ar13,category
er14,category
ar14,category
er15,category
ar15,category
er20,category
ar20,category
er21,category
ar21,category
er23,category
ar23,category
er24,category
ar24,category
er25,category
ar25,category
er26,category
ar26,category
er27,category
ar27,category
er28,category
ar28,category
er29,category
ar29,category
er30,category
ar30,category
er31,category
ar31,category
er32,category
ar32,category
er34,category
ar34,category
er35,category
ar35,category
er36,category
ar36,category
er37,category
ar37,category
er38,category
ar38,category
er39,category
ar39,category
er42,category
ar42,category
er50,category
ar50,category
er51,category
ar51,category
er52,category
ar52,category
er53,category
ar53,category
er55,category
ar55,category
er56,category
ar56,category
er75,category
ar75,category
t01amta,category
a01amta,category
t01amtk,category
a01amtk,category
t02amt,category
a02amt,category
t03amta,category
a03amta,category
t03amtk,category
a03amtk,category
t04amt,category
a04amt,category
t05amt,category
a05amt,category
t07amt,category
a07amt,category
t08amt,category
a08amt,category
t09amt,category
a09amt,category
t10amt,category
a10amt,category
t12amt,category
a12amt,category
t13amt,category
a13amt,category
t14amt,category
a14amt,category
t15amt,category
a15amt,category
t20amt,category
a20amt,category
t21amt,category
a21amt,category
t23amt,category
a23amt,category
t24amt,category
a24amt,category
t25amt,category
a25amt,category
t26amt,category
a26amt,category
t27amt,category
a27amt,category
t28amt,category
a28amt,category
t29amt,category
a29amt,category
t30amt,category
a30amt,category
t31amt,category
a31amt,category
t32amt,category
a32amt,category
t34amt,category
a34amt,category
t35amt,category
a35amt,category
t36amt,category
a36amt,category
t37amt,category
a37amt,category
t38amt,category
a38amt,category
t39amt,category
a39amt,category
t42amt,category
a42amt,category
t50amt,category
a50amt,category
t51amt,category
a51amt,category
t52amt,category
a52amt,category
t53amt,category
a53amt,category
t55amt,category
a55amt,category
t56amt,category
a56amt,category
t75amt,category
a75amt,category
tcsagy,category
acsagy,category
erolovr1,category
arolovr1,category
erolovr2,category
arolovr2,category
trollamt,category
arollamt,category
rab1r1,category
rab1r2,category
rab2r1,category
rab2r2,category
ras1,category
ras2,category
rwb1r1,category
rwb1r2,category
rwb2r1,category
rwb2r2,category
rws1,category
rws2,category
rfb1r1,category
rfb1r2,category
rfb2r1,category
rfb2r2,category
rfs1,category
rfs2,category
rgb1r1,category
rgb1r2,category
rgb2r1,category
rgb2r2,category
rgs1,category
rgs2,category
rob1r1,category
rob1r2,category
rob2r1,category
rob2r2,category
ros1,category
ros2,category
rsb1r1,category
rsb1r2,category
rsb2r1,category
rsb2r2,category
rss1,category
rss2,category
east1a,category
aast1a,category
east1b,category
aast1b,category
east1c,category
aast1c,category
east2a,category
aast2a,category
east2b,category
aast2b,category
east2c,category
aast2c,category
east2d,category
aast2d,category
east3a,category
aast3a,category
east3b,category
aast3b,category
east3c,category
aast3c,category
east3d,category
aast3d,category
east3e,category
aast3e,category
east4a,category
aast4a,category
east4b,category
aast4b,category
east4c,category
aast4c,category
ejntrnt,category
ajntrnt,category
tjarnt,category
ajarnt,category
tjaclr,category
ajaclr,category
eownrnt,category
aownrnt,category
toarnt,category
aoarnt,category
toaclr,category
aoaclr,category
ejrnt2,category
ajrnt2,category
tjaclr2,category
ajaclr2,category
emrtjnt,category
amrtjnt,category
tmijnt,category
amijnt,category
emrtown,category
amrtown,category
tmiown,category
amiown,category
trndup1,category
arndup1,category
trndup2,category
arndup2,category
tothprop,category
eckjt,category
ackjt,category
tckjtint,category
ackjtint,category
eckoast,category
ackoast,category
tckoint,category
ackoint,category
esvjt,category
asvjt,category
tsvjtint,category
asvjtint,category
esvoast,category
asvoast,category
tsvoint,category
asvoint,category
emdjt,category
amdjt,category
tmdjtint,category
amdjtint,category
emdoast,category
amdoast,category
tmdoint,category
amdoint,category
ecdjt,category
acdjt,category
tcdjtint,category
acdjtint,category
ecdoast,category
acdoast,category
tcdoint,category
acdoint,category
ebdjt,category
abdjt,category
tbdjtint,category
abdjtint,category
ebdoast,category
abdoast,category
tbdoint,category
abdoint,category
egvjt,category
agvjt,category
tgvjtint,category
agvjtint,category
egvoast,category
agvoast,category
tgvoint,category
agvoint,category
tintinc,category
emanychk,category
amanychk,category
tmjntdiv,category
amjntdiv,category
tmowndiv,category
amowndiv,category
emothdiv,category
amothdiv,category
tmjadiv,category
amjadiv,category
tmownadv,category
amownadv,category
esanychk,category
asanychk,category
tsjntdiv,category
asjntdiv,category
tsowndiv,category
asowndiv,category
esothdiv,category
asothdiv,category
tsjadiv,category
asjadiv,category
tsownadv,category
asownadv,category
tdivinc,category
ecrmth,category
acrmth,category
rmedcode,category
ecdmth,category
acdmth,category
ecdunt1,category
ecdunt2,category
ecdunt3,category
ehimth,category
ahimth,category
ehiowner,category
ahiowner,category
enonhh,category
rchampm,category
ehiunt1,category
ehiunt2,category
ehiunt3,category
ehemply,category
ahemply,category
ehicost,category
ahicost,category
ehiother,category
ahiother,category
ehispse,category
ahispse,category
ehioldkd,category
ahioldkd,category
ehiyngkd,category
ahiyngkd,category
ehiothr,category
ahiothr,category
ehirsn01,category
ehirsn02,category
ehirsn03,category
ehirsn04,category
ehirsn05,category
ehirsn06,category
ehirsn07,category
ehirsn08,category
ehirsn09,category
ehirsn10,category
ehirsn11,category
ehirsn12,category
ahirsn,category
rprvhi,category
